#       time         integral Re         integral Im         integral Re         integral Im
#       r =            30.000000           30.000000           50.000000           50.000000
   0.0000000   -5.1689181351e-17    2.7545642394e-15    1.6872237445e-16    4.9799660736e-15
   0.1000000    2.5125902753e-17   -4.9972407630e-16   -1.8126133236e-16   -1.3583480793e-15
   0.2000000    6.4600700698e-19    5.5840818484e-16    2.8496484373e-17   -1.6575241712e-15
   0.3000000   -2.5397744128e-18    4.5969293774e-16    7.0986471875e-17   -1.4281438714e-15
   0.4000000   -2.2362627154e-17    8.8892271470e-17   -3.1160369980e-17    2.9180259103e-15
   0.5000000    2.1301596204e-17   -1.1384507279e-16   -6.5817142509e-17    4.9762546368e-15
   0.6000000    2.9427116641e-17    7.2198366586e-17   -5.7776245149e-17   -6.2842336690e-16
   0.7000000    2.8316653051e-17   -1.1681399541e-15    2.5303511818e-17   -4.5012923607e-15
   0.8000000    9.6522923513e-17   -4.3662365410e-15   -3.9373239956e-17   -5.2370755357e-15
   0.9000000    1.5693198073e-16   -4.8026706707e-15   -4.3656609411e-17   -2.1411133414e-15
   1.0000000    4.1006508336e-17   -3.1619961720e-15   -2.4278931144e-16   -2.4848744483e-15
   1.1000000    1.8707786819e-16   -9.7935907414e-16    2.9515236372e-17   -2.0967005920e-16
   1.2000000    8.7544011149e-16    4.8832669461e-15   -1.8374987122e-17   -4.4584609909e-15
   1.3000000    5.4669919663e-16    6.6867186392e-15   -1.2926653764e-16   -6.0267450331e-15
   1.4000000    1.0510045546e-15    4.1953479070e-15    1.0300177156e-16   -7.9394995433e-15
   1.5000000    8.7914190752e-16    3.7604626284e-15   -7.2231557769e-16   -7.8121037141e-15
   1.6000000    4.7399441023e-16   -1.1612308325e-15   -4.5236104726e-16   -2.4363993460e-15
   1.7000000    1.4323167432e-15   -2.6913038146e-15    6.0211939773e-16    4.1908123395e-16
   1.8000000    2.0782014921e-15   -5.1348790201e-15    7.3899614575e-16   -1.5739662834e-16
   1.9000000    1.1412997151e-15   -4.0888451867e-15    1.2012964237e-15    7.0517670092e-16
   2.0000000    1.1702050261e-16   -1.7904341813e-15    5.1371959268e-16   -2.2068326116e-15
   2.1000000    6.2363615403e-16   -1.8500554342e-15    2.3300411988e-15    4.3793518258e-16
   2.2000000    3.6686896937e-17    5.2127140893e-16   -7.2025956573e-16   -2.2900734611e-15
   2.3000000   -1.8709654732e-15    1.0134475233e-15    2.9066178151e-16   -3.5420114419e-15
   2.4000000   -6.4374576099e-16    1.6217695082e-15   -1.8591814936e-15   -3.7053079333e-15
   2.5000000    1.0255170625e-15    2.4460157302e-15   -4.9451322427e-15   -1.3264451162e-14
   2.6000000    2.2889840178e-15    3.4586944971e-16    5.9217711703e-16    9.5294945999e-17
   2.7000000    4.8310691085e-15    7.6079204857e-17   -1.0167574085e-15   -8.8000848110e-16
   2.8000000   -2.7171231880e-16   -1.2350069968e-15    4.2957157327e-16   -2.6478980775e-15
   2.9000000    1.5470913779e-16   -1.7521099477e-15    1.3064935899e-15   -2.6058007642e-15
   3.0000000   -2.6246938796e-16   -2.4774990668e-16    6.3402003814e-15   -5.5698545242e-15
   3.1000000   -6.3637279499e-17    1.9241188930e-15    1.7243721315e-15   -2.2229658703e-15
   3.2000000   -1.9123106034e-15    8.3280287777e-16    1.1054327295e-15   -2.1163194509e-15
   3.3000000   -2.0403082021e-15    2.4849468171e-15    1.0418368851e-15   -5.6805530463e-15
   3.4000000   -2.1639351805e-15    2.6644681543e-15    9.3795655482e-15   -5.4762022070e-15
   3.5000000    6.8124800549e-16    2.6920923819e-15    2.4241888925e-15   -6.5669741206e-15
   3.6000000   -2.2514293725e-15    9.5054563397e-16   -1.0658368786e-15   -8.7133094381e-15
   3.7000000   -9.8438463115e-16   -5.4146528769e-16   -2.0690665430e-15   -5.0278964997e-15
   3.8000000   -2.5724770665e-15   -2.3489439978e-15   -3.5482868249e-15   -7.7653705708e-15
   3.9000000   -1.9516404325e-15   -3.4443748168e-15   -1.5022736675e-15   -6.8195629222e-15
   4.0000000   -7.0742958873e-16   -4.5453402562e-15    1.2874670849e-15   -2.2556780559e-15
   4.1000000   -1.0751165427e-15   -2.9914761891e-15    3.1423330792e-15   -3.4041566465e-15
   4.2000000   -6.6222688649e-16    1.5809041121e-15    1.3224649462e-15   -1.8014655290e-15
   4.3000000   -3.6266044475e-15   -3.0750111318e-16   -1.5499448081e-15   -1.7845250500e-15
   4.4000000   -2.4136337258e-15    1.4665133642e-15   -7.5859127360e-15    1.0982176776e-15
   4.5000000    8.6509659675e-17   -7.7967595078e-16    1.7590723116e-15    2.1314543098e-16
   4.6000000   -9.7040708376e-16    1.7719046692e-15   -2.1631521988e-15   -1.7553409518e-15
   4.7000000    1.0717535107e-15    1.1488342736e-15    3.3876495688e-15   -4.1110889613e-15
   4.8000000   -2.7525707305e-16    2.7782277199e-16    7.1855861454e-15   -6.5760666817e-16
   4.9000000   -3.4841378398e-15   -1.4232354887e-15    1.1863738253e-14   -3.1225281922e-15
   5.0000000   -2.7159067888e-15    5.4914499427e-16    1.3590512719e-14    8.7696799180e-17
   5.1000000   -3.3959653606e-15    1.4595954239e-15    5.8854597557e-15    1.1705955364e-15
   5.2000000   -3.5518511780e-15    3.5741565084e-16    3.0604297580e-15    1.3103004820e-15
   5.3000000    3.3927181026e-15   -2.0628281469e-15   -1.2177634560e-15   -7.2233618891e-15
   5.4000000   -1.4126726866e-15   -2.9866763647e-15   -1.0985701747e-14   -8.5292627554e-15
   5.5000000   -9.2519209831e-16    2.0195808092e-15   -1.2870929666e-14   -9.0834309935e-15
   5.6000000   -8.5964790820e-17    1.0793408860e-15   -5.8280573499e-15   -5.9488443549e-15
   5.7000000    5.1920245213e-15   -2.3053897769e-16   -3.5179442642e-15   -4.1520874868e-15
   5.8000000    1.2704622046e-16    2.5982041924e-15    4.1277786713e-17   -6.9314222675e-15
   5.9000000    4.5612312592e-15    2.7746345704e-15    1.5525210935e-14   -3.5059752523e-15
   6.0000000   -3.8053932893e-16   -1.5885767950e-15    2.3931689189e-14   -2.2432609290e-15
   6.1000000    7.8572439534e-16    1.8723899249e-15    1.1683987776e-14   -1.3019192638e-15
   6.2000000   -4.8672824049e-15    1.8970053080e-15    3.0746848356e-16   -1.7578136523e-15
   6.3000000   -5.4920731624e-16    2.1712144204e-15    5.1194130680e-15   -5.1700794888e-15
   6.4000000   -2.8503078841e-16   -1.3340056516e-15   -1.4949193632e-15   -4.2863745195e-15
   6.5000000   -1.2361184124e-15   -2.0845953072e-15   -3.4191892545e-15   -1.0110671882e-14
   6.6000000    4.4646588064e-15   -5.4468386743e-16   -1.2344869981e-14   -5.1156718462e-15
   6.7000000    2.4059990371e-15    7.3448123317e-16   -1.4447939604e-14   -1.5639346995e-15
   6.8000000    4.0021132698e-16   -8.4662717476e-17   -1.0682999448e-14   -1.0239962684e-15
   6.9000000    1.9222196399e-15   -2.5937127272e-16   -1.0508727821e-15   -2.9676296570e-15
   7.0000000   -6.0193414867e-15    1.6504927156e-15    6.1740837835e-15    8.9233804282e-15
   7.1000000   -4.3602772529e-15    3.1758003882e-15    3.7111518439e-15    6.7011165367e-15
   7.2000000    4.7420602862e-15    4.7683765039e-15    1.6044891123e-14   -3.1320167041e-15
   7.3000000    3.2801563070e-15    2.7687858163e-15    1.0723096760e-14   -1.0424460980e-15
   7.4000000    6.9881007985e-15    1.3901376943e-15    1.4399645490e-14    1.3534658598e-15
   7.5000000    7.4553716864e-15   -9.3164875950e-16   -8.7984799376e-16   -1.4011815321e-15
   7.6000000    5.1814656127e-15   -1.2270392727e-15    4.6543902713e-15   -2.6485357377e-16
   7.7000000    4.1020903232e-15   -1.1773220610e-15   -4.6207437363e-15   -6.5875114177e-15
   7.8000000    1.5384749487e-15   -1.2742284789e-15   -4.5755306416e-15   -5.6931833695e-15
